college,collegepop,collegemask
William Woods University,2284,TRUE
Carroll College,1354,TRUE
Montana State University,16703,TRUE
Montana State University Billings,4401,TRUE
Montana State University Northern,1105,TRUE
Montana Technological University,2700,TRUE
Salish Kootenai College,809,TRUE
Stone Child College,554,TRUE
University of Montana,12878,TRUE
University of Montana Western,1501,TRUE
Chadron State College,2737,TRUE
"Concordia University, Nebraska",1209,TRUE
Creighton University,8654,TRUE
Doane University,,TRUE
Hastings College,1202,TRUE
Midland University,1793,TRUE
Nebraska Wesleyan University,2064,TRUE
Peru State College,2349,TRUE
University of Nebraska Medical Center,3908,TRUE
University of Nebraska at Kearney,6644,TRUE
University of Nebraska at Omaha,12245,TRUE
University of Nebraska-Lincoln,26079,TRUE
Wayne State College,27064,TRUE
College of Southern Nevada,33914,TRUE
Great Basin College,3244,TRUE
Nevada State College,4212,TRUE
Truckee Meadows Community College,10720,TRUE
"University of Nevada, Las Vegas",30471,TRUE
"University of Nevada, Reno",21657,TRUE
Western Nevada College,3642,TRUE
Colby-Sawyer College,995,TRUE
Dartmouth College,6509,TRUE
Franklin Pierce University,2303,TRUE
Granite State College,1729,TRUE
Keene State College,3866,TRUE
New England College,2832,TRUE
Plymouth State University,5046,TRUE
Rivier University,2431,TRUE
Saint Anselm College,1964,TRUE
Southern New Hampshire University,90955,TRUE
University of New Hampshire,12202,TRUE
Bloomfield College,1842,TRUE
Caldwell University,2206,TRUE
Centenary University,,TRUE
College of Saint Elizabeth,1141,TRUE
Drew University,2117,TRUE
Fairleigh Dickinson University,3512,TRUE
Fairleigh Dickinson University Florham,3512,TRUE
Felician University,1996,TRUE
Georgian Court University,2390,TRUE
Kean University,14226,TRUE
Monmouth University,6340,TRUE
Montclair State University,21013,TRUE
New Jersey City University,6508,TRUE
New Jersey Institute of Technology,11500,TRUE
Princeton University,5422,TRUE
Ramapo College of New Jersey,6120,TRUE
Rider University,5073,TRUE
Rowan University,18400,TRUE
Rutgers University,49577,TRUE
Saint Peter's University,3524,TRUE
Seton Hall University,9801,TRUE
Stevens Institute of Technology,6916,TRUE
Stockton University,8728,TRUE
The College of New Jersey,6728,TRUE
Thomas Edison State University,16233,TRUE
William Paterson University,10743,TRUE
Eastern New Mexico University,6027,TRUE
Institute of American Indian Arts,570,TRUE
Navajo Technical University,1875,TRUE
New Mexico Highlands University,3098,TRUE
New Mexico Institute of Mining and Technology,1321,TRUE
New Mexico Military Institute,857,TRUE
New Mexico State University,14432,TRUE
Northern New Mexico College,948,TRUE
San Juan College,7030,TRUE
Santa Fe Community College,4581,TRUE
University of New Mexico,26221,TRUE
Western New Mexico University,3088,TRUE
Adelphi University,7978,TRUE
Albany Medical College,840,TRUE
Alfred University,2354,TRUE
Bard College,2293,TRUE
Barnard College,2544,TRUE
Bryant & Stratton College,439,TRUE
CUNY Baruch College,18289,TRUE
CUNY Borough of Manhattan Community College,26932,TRUE
CUNY Bronx Community College,10935,TRUE
CUNY Brooklyn College,14970,TRUE
CUNY City College of New York,16001,TRUE
CUNY College of Staten Island,13594,TRUE
CUNY Guttman Community College,1066,TRUE
CUNY Hostos Community College,7211,TRUE
CUNY Hunter College,23005,TRUE
CUNY John Jay College of Criminal Justice,14834,TRUE
CUNY Kingsborough Community College,15034,TRUE
CUNY LaGuardia Community College,19373,TRUE
CUNY Lehman College,14130,TRUE
CUNY Medgar Evers College,6652,TRUE
CUNY New York City College of Technology,17279,TRUE
CUNY Queens College,19866,TRUE
CUNY Queensborough Community College,15400,TRUE
CUNY School of Law,488,TRUE
CUNY York College,8533,TRUE
Canisius College,3464,TRUE
Cazenovia College,893,TRUE
Clarkson University,4233,TRUE
Clinton Community College,1547,TRUE
Colgate University,2881,TRUE
College of Mount Saint Vincent,1910,TRUE
Columbia University,30404,TRUE
Columbia-Greene Community College,1620,TRUE
Concordia College New York,1466,TRUE
Cornell University,23016,TRUE
D'Youville College,3045,TRUE
Daemen College,2635,TRUE
Dominican College,1575,TRUE
Dutchess Community College,9061,TRUE
Elmira College,1012,TRUE
Erie Community College,11135,TRUE
Farmingdale State College,9574,TRUE
Fashion Institute of Technology,8846,TRUE
Finger Lakes Community College,6356,TRUE
Fordham University,16037,TRUE
Fulton-Montgomery Community College,2403,TRUE
Genesee Community College,5906,TRUE
Hamilton College,1901,TRUE
Hartwick College,1201,TRUE
Herkimer County Community College,2632,TRUE
Hilbert College,792,TRUE
Hobart William Smith Colleges,2244,TRUE
Hofstra University,11131,TRUE
Houghton College,1043,TRUE
McKendree University - Loyola University New Orleans,1450,TRUE
Midwestern University at Downers Grove,2971,TRUE
Millikin University,2040,TRUE
Monmouth College,1030,TRUE
North Central College,2965,TRUE
North Park University,2937,TRUE
Northeastern Illinois University,8984,TRUE
Northern Illinois University,18045,TRUE
Northwestern University,8327,TRUE
Olivet Nazarene University,5002,TRUE
Parkland College,5147,TRUE
Principia College,455,TRUE
Quincy University,1098,TRUE
Rockford University,1262,TRUE
Saint Xavier University,3715,TRUE
School of the Art Institute of Chicago,3648,TRUE
Southeastern Illinois College,1655,TRUE
Southern Illinois University Carbondale,14554,TRUE
Southern Illinois University Edwardsville,13796,TRUE
Southwestern Illinois College,8859,TRUE
University of Chicago,16227,TRUE
University of Illinois Springfield,4956,TRUE
University of Illinois Urbana-Champaign,47826,TRUE
University of Illinois at Chicago,29120,TRUE
Western Illinois University,9469,TRUE
Wheaton College,1688,TRUE
Anderson University,2881,TRUE
Ball State University,22513,TRUE
Butler University,4685,TRUE
DePauw University,2158,TRUE
Earlham College,1128,TRUE
Franklin College,1034,TRUE
Goshen College,950,TRUE
Hanover College,1089,TRUE
Indiana State University,13771,TRUE
Indiana University Bloomington,31878,TRUE
Indiana University East,3490,TRUE
Indiana University Kokomo,3029,TRUE
Indiana University Northwest,4055,TRUE
Indiana University South Bend,5385,TRUE
Indiana University Southeast,5144,TRUE
Indiana University-Purdue University Indianapolis,28294,TRUE
Manchester University,1525,TRUE
Marian University,3429,TRUE
Oakland City University,1303,TRUE
Purdue University,31006,TRUE
Purdue University - Purdue Polytechnic Anderson,5505,TRUE
Purdue Polytechnic Columbus,,TRUE
Purdue Polytechnic Indianapolis,,TRUE
Purdue Polytechnic Kokomo,,TRUE
Purdue Polytechnic Lafayette,,TRUE
Purdue Polytechnic New Albany,,TRUE
Purdue Polytechnic Richmond,,TRUE
Purdue University - Purdue Polytechnic South Bend,,TRUE
Purdue University - Purdue Polytechnic Vincennes,,TRUE
Purdue University Fort Wayne,,TRUE
Purdue University Northwest,,TRUE
Rose-Hulman Institute of Technology,2245,TRUE
Saint Mary's College,3908,TRUE
Taylor University,2145,TRUE
Trine University,4312,TRUE
University of Evansville,2676,TRUE
University of Indianapolis,5972,TRUE
University of Notre Dame,12467,TRUE
